Codigo_Piloto,Aerolinea,Origen,Destino,Minutos_de_retraso,OnTime,Piloto
43556,10,SAP,HAJ,40,,John Max
43559,1,TEG,SAP,0,,David Colindres
43560,1,HAJ,SAP,50,,Maximilian Call
43561,8,HHN,SAP,20,,Muilin Mills
43562,2,SAP,HAJ,-30,,Gianni Falk
43563,8,MIA,HHN,-30,,Hous Hih
43564,10,FLL,SAP,-30,,Cho Ming
43568,4,FLL,SAP,0,,Filg Gills
43569,9,TEG,MIA,0,,Hung Cho
43570,6,HAJ,FLL,-70,,Filen Filg
43571,5,HHN,SAP,-50,,Arthur Maxwell
43572,1,SAP,MIA,0,,Carlos Miranda
43573,5,MIA,FLL,0,,Denis Tercero
43556,2,FLL,TEG,-50,,John Max
43557,9,SAP,HAJ,40,,Jilles Vlank
43560,8,TEG,SAP,0,,Maximilian Call
43561,1,HAJ,SAP,-70,,Muilin Mills
43562,5,HHN,SAP,-10,,Gianni Falk
43563,6,SAP,HAJ,10,,Hous Hih
43564,8,HAJ,HHN,0,,Cho Ming
43565,1,HHN,SAP,-10,,Chao Ma
43566,3,SAP,TEG,80,,Jos� Perez
43567,10,MIA,HAJ,30,,Davie Mixal
43568,4,FLL,HHN,20,,Filg Gills
43569,4,TEG,SAP,-10,,Hung Cho
43570,5,HAJ,MIA,-20,,Filen Filg
43571,1,HHN,FLL,30,,Arthur Maxwell
43572,7,FLL,SAP,-10,,Carlos Miranda
43573,1,TEG,MIA,-30,,Denis Tercero
43568,2,HAJ,FLL,-30,,Filg Gills
43569,9,HHN,TEG,10,,Hung Cho
43570,7,SAP,HAJ,-20,,Filen Filg
43556,3,MIA,SAP,-20,,John Max
43557,3,FLL,SAP,30,,Jilles Vlank
43558,5,TEG,HAJ,-10,,Jorge Mej�a
43559,7,HAJ,HHN,20,,David Colindres
43568,10,MIA,SAP,-10,,Filg Gills
43569,8,FLL,TEG,-20,,Hung Cho
43570,9,TEG,HAJ,60,,Filen Filg
43571,9,HAJ,MIA,-10,,Arthur Maxwell
43572,4,HHN,FLL,0,,Carlos Miranda
43556,1,MIA,SAP,0,,John Max
43557,7,FLL,SAP,0,,Jilles Vlank
43558,8,TEG,HAJ,60,,Jorge Mej�a
43559,10,HAJ,HHN,20,,David Colindres
43568,7,HHN,SAP,20,,Filg Gills
43569,3,FLL,TEG,10,,Hung Cho
43570,6,TEG,HAJ,0,,Filen Filg
43571,2,HAJ,HHN,-10,,Arthur Maxwell
43572,2,HHN,SAP,-20,,Carlos Miranda
43573,5,SAP,MIA,-20,,Denis Tercero
43556,2,MIA,FLL,-50,,John Max
43557,1,FLL,SAP,-20,,Jilles Vlank
43558,6,SAP,MIA,0,,Jorge Mej�a
43559,3,MIA,FLL,0,,David Colindres
