Codigo_Piloto,Aerolinea,Origen,Destino,Minutos_de_retraso,OnTime,Piloto
43556,10,SAP,HAJ,40,B,John Max
43559,1,TEG,SAP,0,A,David Colindres
43560,1,HAJ,SAP,50,B,Maximilian Call
43561,8,HHN,SAP,20,A,Muilin Mills
43562,2,SAP,HAJ,-30,A,Gianni Falk
43563,8,MIA,HHN,-30,A,Hous Hih
43564,10,FLL,SAP,-30,A,Cho Ming
43568,4,FLL,SAP,0,A,Filg Gills
43569,9,TEG,MIA,0,A,Hung Cho
43570,6,HAJ,FLL,-70,A,Filen Filg
43571,5,HHN,SAP,-50,A,Arthur Maxwell
43572,1,SAP,MIA,0,A,Carlos Miranda
43573,5,MIA,FLL,0,A,Denis Tercero
43556,2,FLL,TEG,-50,A,John Max
43557,9,SAP,HAJ,40,B,Jilles Vlank
43560,8,TEG,SAP,0,A,Maximilian Call
43561,1,HAJ,SAP,-70,A,Muilin Mills
43562,5,HHN,SAP,-10,A,Gianni Falk
43563,6,SAP,HAJ,10,A,Hous Hih
43564,8,HAJ,HHN,0,A,Cho Ming
43565,1,HHN,SAP,-10,A,Chao Ma
43566,3,SAP,TEG,80,C,Jos� Perez
43567,10,MIA,HAJ,30,A,Davie Mixal
43568,4,FLL,HHN,20,A,Filg Gills
43569,4,TEG,SAP,-10,A,Hung Cho
43570,5,HAJ,MIA,-20,A,Filen Filg
43571,1,HHN,FLL,30,A,Arthur Maxwell
43572,7,FLL,SAP,-10,A,Carlos Miranda
43573,1,TEG,MIA,-30,A,Denis Tercero
43568,2,HAJ,FLL,-30,A,Filg Gills
43569,9,HHN,TEG,10,A,Hung Cho
43570,7,SAP,HAJ,-20,A,Filen Filg
43556,3,MIA,SAP,-20,A,John Max
43557,3,FLL,SAP,30,A,Jilles Vlank
43558,5,TEG,HAJ,-10,A,Jorge Mej�a
43559,7,HAJ,HHN,20,A,David Colindres
43568,10,MIA,SAP,-10,A,Filg Gills
43569,8,FLL,TEG,-20,A,Hung Cho
43570,9,TEG,HAJ,60,C,Filen Filg
43571,9,HAJ,MIA,-10,A,Arthur Maxwell
43572,4,HHN,FLL,0,A,Carlos Miranda
43556,1,MIA,SAP,0,A,John Max
